,text,intent
47,أساليب العدوى,transfer methods
76,كام ، عدد الناس المصابين في أمريكا من قبل كرونر.,infected cases
447,"كنت أسأل عن التمارين أريد أن أعرف إن كان هذا صحيحا أم لا 
شكرا على النصيحة",breathing test
561,وهذه هي طريقة تطهير منطقة كويسا أفشان في روكورو.,sterilization and disinfection
199,(كيم) توفيت من (كورونا كورونا),infected cases
438,عدد الحالات,infected cases
351,رائع جدا ، شكرا جزيلا لكم.,reviews
335,كام ، حالة مصر,infected cases
266,النتيجة التحليلية سلبية مع المرض.,laboratory
259,عدد المصابين في جميع أنحاء العالم,infected cases
409,كم عدد حالات أمريكانا ؟,infected cases
435,عدد حالات الوفاة في مصر,infected cases
581,كيف كان بالأمس ؟,infected cases
703,(أعرف آخر (كورونا,about corona virus
597,. أنت جميلة,crush
711,عدد الوفيات,infected cases
698,الحالات في كولومبيا,infected cases
148,عدد الوفيات وعدد المصابين بكورونا وفي علاج ليه وليس له,infected cases
318,عدد الحالات في عمان,infected cases
775,(أعلم إن كان مريض (كورونا أو لا,symptoms
475,كيف لي أن أعرف إن كان لدي (كورونا) أم لا ؟,assessment
582,أو الإصابات في مدينة أسوان في كورونا,infected cases
161,هل أصيب أي شخص بالفيروس في السجون المصرية ؟,infected cases
723,ما نوع الكحول الذي فعله المنزل ؟,sterilization and disinfection
625,. العلاج,treatment
345,عدد المصابين بالعدوى في مصر,infected cases
761,"هل أثبت أي علاج ل ـ ""كورونا"" حتى الآن أنه فعال في القضاء عليه ؟",treatment
43,أنا oi.,panic among the people
418,عدد الوفيات في مصر,infected cases
158,عدد الضحايا,infected cases
147,كاميرا في فلسطين,infected cases
725,ما هي فكرة الأهرامات ؟,nothing identified
202,أساليب الوقاية,precautions
99,"سمعنا أن ""ريدسفير"" ، ""فيجان"" و ""بلاكويل"" ، هل هذا صحيح ؟",treatment
497,تحديد الحالات,infected cases
296,أنا يضر بك.,nothing identified
488,. صباح الخير,greeting
5,، (أعلم يا (نيما. يجب أن العريس لك,crush
517,أريد أن أعرف ما هو الوضع الذي نشعر فيه بالقلق والقلق سينهي أمتي,panic among the people
198,ما الخط الساخن,emergency
786,أهلا بكم,greeting
240,ليس بأنك إنسان آلي.,reviews
301,مستشفيات العزل,business location
116,التوصيات الرئيسية,precautions
542,أهلا بكم,greeting
382,لا حاجة لذلك,nothing identified
287,على مدى 24 سنة الماضية.,infected cases
578,الحجر في المنزل,home quarantine
384,شكرا لكم.,reviews
405,عدد الجرحى اليوم في مصر,infected cases
476,ما هو تاريخ هذا الوباء ؟,the evolution of the virus
152,برافو !,reviews
643,الحالات في الصين,infected cases
613,أنت يمكن أن تخبرني ، nimah ، هل تلبس الماسك مهم أو ليس ؟,muzzle/mask
361,عرض الإسهال,symptoms
160,الحل,treatment
690,عدد الإصابات في كرونا اليوم هو في التواضع.,infected cases
151,وهناك دواء جيد ليخبرني بالرقم الذي سيصاب به يوم الثلاثاء في مصر.,infected cases
410,:: تقديم قضايا في فرنسا وإسبانيا والأردن,infected cases
739,عدد الجرحى في مصر في 13,infected cases
762,قضايا جديدة في مصر,infected cases
261,أهوا أصل الفيروس ؟,about corona virus
721,شارات Corona,about corona virus
745,كيفية منع كورونا,precautions
362,"من الدول التي تسببت في ظهور فيروس ""فيروس كورونا"".",about corona virus
664,العدوى محتملة تتحرك من الهواة إلى الشارع.,transfer methods
347,هل نحن في القمة أم لا ؟,the evolution of the virus
237,ما هي مستشفيات الحجر الصحي في مصر ؟,business location
714,التاريخ المتوقع لنهاية فرسا كرونا في مصر,the evolution of the virus
49,هل هناك علاج ل ـ (ميرز) الآن ؟,treatment
189,أشعر بالحر في جسدي,assessment
381,ويمكن أن تكون أعراض الربو أو تغير القمر,assessment
231,بلادك ؟,nothing identified
322,إذا كنت أريد السفر ، أفعل ما أفعله ؟,nothing identified
757,حماده,reviews
29,هل كرتنا تنتشر عبر الهواء ؟,transfer methods
509,صباح الخير 😊,greeting
515,ماليزيا,infected cases
395,الفيروس ، ويفضل أن يعيش على السطح.,transfer methods
645,السلام عليكم,greeting
784,، حسنا ، أريد أي طرق يمكنني إتباعها. يمكنني حماية حياتي,precautions
710,ما هي المواد التي يمكن وضعها في الرذاذ المستخدم للتعقيم في المنزل وما هي التركيزات ؟,sterilization and disinfection
354,اعداد المصابين في انجلترا وهولندا,infected cases
127,عدد الوفيات في كندا,infected cases
62,لماذا ينتهي بعض الوقت ؟,the evolution of the virus
500,فلسطين,infected cases
652,أحس جسم جسم ، وأنا لا أنام في نوم منتظم ، بأنك تنصحني ليعمل.,symptoms
332,. لا تقلق.,nothing identified
527,ألف,nothing identified
252,تحية من الامتنان والتقدير لكل شاب مصري مبدع شارك في هذا الطلب.,kindness
533,السلام عليكم ، زيكي.,how are you
445,اعداد الحالات في ايطاليا,infected cases
728,كيف تنتقل العدوى بواسطة فيروس التاجى,transfer methods
390,"هل هو في نوع معين من تناول القمل ضد ""فيرس كراون"" ؟",food and drinks
406,أين هي مستشفيات العزل ؟,business location
74,ما الجديد,greeting
196,كم عدد الحالات المسجلة في مصر ؟,infected cases
548,ما هي طرق تجنب العدوى وكيفية حماية نفسي ؟,precautions
529,شكرا لكم.,reviews
724,الصداع وطي الضغط من أعراض الكرونا.,symptoms
117,القضايا في النرويج,infected cases
606,قطر,infected cases
453,كم عدد الإصابات في aran,infected cases
684,مرحبا وأهلا بكم,greeting
37,شكرا لكم.,reviews
683,إيزي) ، أريه),how are you
109,عدد الحالات ، كام با نميس (أ),infected cases
138,ما هو (ميرز) ؟,about corona virus
673,! مهلا !,greeting
53,في كام ، القضية في مصر ، هارادا نيشا,infected cases
97,هذه الحالات في مصر ولبنان.,infected cases
334,كم عدد الحالات في مصر اليوم ؟,infected cases
580,إذا تعاملت مع شخص مصاب جديد أنت لم تظهر عليه علامات المرض. هل الكنتالوب والجوت وقف للحوم العدوى ؟,muzzle/mask
331,وهو في مصر في عدد المصابين.,infected cases
267,أنت تنصحني بأن يكون لديك تاج من التيجان,precautions
220,(فين),nothing identified
635,الهند,infected cases
753,القضايا التي وصلت إلى (كام) في (إسبانيا),infected cases
31,شكرا لكم.,reviews
40,مصر,infected cases
163,ماذا بعد كروانا ؟,the evolution of the virus
115,الجرحى في مصر والسعودية,infected cases
260,Zee I releanalysie of the Verse,laboratory
140,أنا أصنع الفرق بين صداع طبيعي وصداع وأعراض قرنية لدينا,comparison
443,عدد الحالات في أنغولا,infected cases
522,أريد أن أعرف الأعراض الأولى لكرونر,symptoms
155,إذا تركت أي شئ محتمل منفصل perp طبيعي من الحنث والنشا وبين التتويج ،,comparison
436,مرحبا ، زيكي.,how are you
232,كم عدد الإصابات في الترنيم ؟,infected cases
383,عدد الحالات في المغرب,infected cases
368,بقينا. كام لديه واحدة من صلواتي,infected cases
141,لا ، شكرا,reviews
480,قضايا في تركيا,infected cases
419,أي من الكرونات لدينا ؟,symptoms
672,أعراض مرض كورونا,symptoms
282,والباقي خطير,assessment
350,كرر لصالح.,nothing identified
217,أنا إحساس سونيك ، ودرجة حرارتي عالية. يمكن أن يكون باردا ، وليس التيجان.,assessment
201,أعراض مرض كرونا.,symptoms
285,التعليمات,nothing identified
215,إسهال,symptoms
216,البلدان التي لم يتم فيها نشر وباء فيروس كورونا,nothing identified
133,Eh ، MERS,symptoms
538,هل ينتقل المرض عن طريق الهواء ؟,transfer methods
73,شاكرين جدا,reviews
636,الطب.,treatment
675,لدي سعال مرتبط بالبلغم هل تبقى (كورونا) ؟,assessment
623,أميركا الطيبة وريح على فين ؟,infected cases
257,شكرا لإحترامك ، وربنا يجعله في ميزانك الجيد ، الله العالم.,kindness
442,نريد تقرير الصحيفة,infected cases
595,نحن جميعا في المنزل الحجري.,home quarantine
52,عدد القضايا الجديدة في السعودية,infected cases
451,كيف تنسخ Verse Corona,transfer methods
284,إعداد الجرحى في لبنان ومصر والسعودية ؟,infected cases
295,أود أن أعرف كم عدد حالات الكرونا اليوم ؟,infected cases
57,اعداد,infected cases
628,إعداد الأشخاص المصابين في العالم,infected cases
534,أعرف العدد الأخير من الإصابات اليوم,infected cases
702,هل يدخنون كنية ؟,smoking
685,هل المنزل يذهب ويستخدم نهاية الكحول ؟,sterilization and disinfection
230,عدد النساء في أمريكا.,infected cases
238,عدد القضايا في المملكة العربية السعودية,infected cases
341,عدد القضايا في ألمانيا,infected cases
617,شكرا لكم.,reviews
96,أريد أن أتهم الموبايل,nothing identified
737,قضايا من النمسا,infected cases
526,حسنا.,nothing identified
39,ما هي Corona,about corona virus
139,وعزا نسبه.,infected cases
506,هل وصل مرض كورونا في مصر إلى الذرة ؟,infected cases
712,ما الذي سبب الحرق المستمر للأزرق مع السقيفة الأنفية ؟,assessment
661,ما هو أسوأ سيناريو محتمل لمصر ؟,the evolution of the virus
634,التعديل هو ، لدي فيروس التتويج.,symptoms
687,إنها تعمل إسألني أي شئ آخر.,nothing identified
78,إندونيسيا,infected cases
176,القضايا في السعودية وصلت إليك,infected cases
537,شكرا لك على ذوقك,reviews
789,عندما ينتهي فيروس كورونا,the evolution of the virus
461,المغرب,infected cases
599,(زي) ، أنا أقوم بتحليل سيارة (فيريس),laboratory
637,قضايا في مصر,infected cases
414,(أنا أحمي نفسي من (كورونا,precautions
479,كم من الأيام تفضل الفيروس على السطح ؟,transfer methods
466,شكرا لحضورك,reviews
787,"""بالاه""",nothing identified
95,وما هو عدد الحالات اليومية لمحافظة بورسعيد من ظهور الكرونا فيريس حتى الآن,infected cases
446,الأعراض,symptoms
75,كيف تبهر,sterilization and disinfection
666,أعراض القروض,symptoms
777,ما علاقة هذا بالسؤال ؟,nothing identified
633,(شكرا (ميسا,reviews
249,"هل ""كورونا"" خطر على كل الناس ؟",panic among the people
701,أعني ، هذا يعني لماذا ليس في اليوم الأول,symptoms
192,إعداد الإصابات في فلسطين,infected cases
519,أي إعدادا للإصابات في مصر,infected cases
424,"ما هو العلاج الوقائي ضد فيروس ""فيروس كورونا"" ؟",precautions
32,أعرف الأعراض,symptoms
364,أمي تنهي الفايروس,the evolution of the virus
505,مرحبا ، الآنسة🤣,greeting
137,عدد إيطاليا,infected cases
563,بقينا الباردة إلى حد دمية بلدي ؟,infected cases
741,وأظهرت المحافظات المصرية حالات إصابة بجروح وعدد من القتلى.,infected cases
758,ما الرقم الذي ندعوه به إذا كان في نهاية الفيروس وحالته صعبة ؟,emergency
271,هل هناك علاج ل ـ (كورونا) بالتأكيد ؟,treatment
656,الإعداد في مصر وقطر,infected cases
55,ما هو التحضير لإصابة في فرنسا ؟,infected cases
478,أنا أطلب علاجا,treatment
20,اعداد في الصين,infected cases
106,عدد المصابين بفيروس كورونا في مصر,infected cases
219,أنت على الرحب والسعة,greeting
387,كم قضية اليوم ؟,infected cases
444,أعراض فيرس,symptoms
112,طيب ، فإن الموضوع سيختتم بلده.,nothing identified
689,القضايا الجديدة,infected cases
375,جوسي) ، الوظيفة تأتي كل يوم) وفي الناس كما تعلم لديه أعراض تعرفني بأنني (عدوي ل ـ (كورونا,symptoms
208,كيف يمكن منع الفيروس التاجى ، على الرغم من الحاجة إلى التعامل مع الجمهور,precautions
742,ما هي أرقام العدوى في إيطاليا ؟,infected cases
178,"ما هي الأدوية التي تساعد الجسم للدفاع عن نفسه من ""كورونا"" ؟",treatment
642,مثله,assessment
579,اعداد العدوى📊,infected cases
516,كم من الدولارات ؟,nothing identified
431,طرق الوقاية أحدث من الطرق الحالية,precautions
281,ما هي أرقام العدوى في (سنغافورة) ؟,infected cases
734,"والمحامص من ""كينا"".",precautions
389,وكان عدد الضحايا مكرونة في مصر.,infected cases
367,نيسما إيسي ، أعرف عدد الحالات في لبنان.,infected cases
441,كم عدد المصابين في مصر والصين ؟,infected cases
227,كم عدد الحالات التايلاندية اليوم ؟,infected cases
360,نصلي من أجل رفع البلاء,prayers
398,هل تحمي الماسك من الفيروس ؟,muzzle/mask
726,شكرا لحضورك,reviews
64,ترك مسافة. كام) بيني وبين شخص آخر),precautions
668,كم عدد المصابين يا (نيشا) في مصر ؟,infected cases
568,كم عدد الضحايا قرون في مصر ؟,infected cases
429,إنها طريقة الإرسال,transfer methods
258,كيف احمي نفسي من الهالة,precautions
111,حالات إنشاء مصر,infected cases
747,البرتغال,infected cases
190,التعليم,education and work
448,في تحليل المنزل ؟,assessment
195,عدد الجرحى في إسرائيل,infected cases
205,آخر التطورات في مصر من فيروس كارونا,infected cases
28,درج حراريه يؤثر على Corona.,warm weather
172,(إيزي نميس),how are you
80,أتمنى لكم التوفيق لشباب مصر العظيم,kindness
511,من وجهة النظر إلى الانخفاض,nothing identified
89,كم عدد حالات التتويج في مصر اليوم ؟,infected cases
647,مرحبا بك 😊,greeting
186,الأعمال التحضيرية في مصر ولبنان والمملكة العربية السعودية ؟,infected cases
524,فيروس البيج للأطفال وليس للناس الكبار,most vulnerable
750,أعدك بأنك ستبقى أذكى رجل ذكي في العالم,reviews
197,أعراض كورونا ؟,symptoms
669,ما آخر الأخبار ؟,infected cases
272,ما هو عدد الوفيات من كورونا في مصر ؟,infected cases
181,في مصر,infected cases
369,. إن الفيروس يتخلص من أمتي,the evolution of the virus
207,كم عدد المصابين في مصر الآن ؟,infected cases
545,توقفي عن الحظر يا أمي,curfew
615,كم عدد الحالات المصابة بالمرض في جمهورية مصر العربية اليوم ؟,infected cases
731,. أنا على حق,assessment
662,أهلا بكم,greeting
610,سرعة القذف,nothing identified
407,بعد الشفاء,nothing identified
256,:: ما هو احتمال حدوث زيادة في عدد الإصابات بفيروس نقص المناعة البشرية في الفترة المقبلة ؟,the evolution of the virus
585,. اللقاح,treatment
396,تخطي FUTERS,the evolution of the virus
608,نسبة الكحول في كام,sterilization and disinfection
420,كم عدد الحالات في كندا ؟,infected cases
18,. علاج لدعم الحصانة,precautions
182,هل المحشو محشو ؟,nothing identified
785,أهلا بكم,greeting
179,معدل إصابات الجزارين,infected cases
378,وكم عدد المصابين,infected cases
214,الوقاية من الأمراض المزمنة. أنا مريض بالروماتويد,precautions
754,إعداد القضايا في قطر,infected cases
363,وينتقل الفيروس عن طريق الاتصال بمقابض للسيارات أو مقابض لجميع الأبواب العامة.,transfer methods
283,عدد القضايا في مصر,infected cases
206,ما هو تأثير الكرونا ؟,about corona virus
770,إيران وتركيا وبريطانيا,infected cases
311,(من الممكن في (إيطاليا,infected cases
495,عدد القضايا في مصر حتى الآن,infected cases
380,تركيا,infected cases
19,كم عدد الحالات في قطر,infected cases
130,أسعل,assessment
330,عدد الوفيات اليوم,infected cases
402,السلام عليكم,greeting
570,نعم ، بالطبع 👍,yes
77,هذا الآيس كريم. من الممكن أن يقوم القماش بتنظيف الأخرى.,sterilization and disinfection
508,الحالات في إيران,infected cases
326,"شكرا لكم. 
سأتحدث في وقت لاحق عندما أحتاج إلى. 👍🌹",reviews
84,أنا أطلب منك تركوازي,about corona virus
427,الإعداد في مصر,infected cases
469,التدابير الاحترازية,precautions
694,كم عدد الحالات في مصر ؟,infected cases
437,لقد سألت من قبل,nothing identified
680,أعرف بأنني مجروح.,symptoms
706,وطرق التوقف,precautions
772,مصر تستعد لإعداد جرحى في مصر,infected cases
592,شكرا لكم.,reviews
168,الإصابات في مصر ولبنان,infected cases
121,إسبانيا,infected cases
782,الأشعة المقطعية للصدر تشير إلى وجود المرض,disease detection
751,(مرحبا (نامساه,greeting
614,هل صحيح أنه في المخدرات في أمريكا ، تم اكتشافها وظهرت بعدها بأسبوع ، أم أنها كانت شائعة ؟,treatment
22,قضايا جديدة في مصر,infected cases
462,وإذا كان سينوس الجيوب الأنفية قد تأثر بالفيروس,symptoms
313,حل Ziggan A,treatment
540,و الكمان خائفون,infected cases
185,كل التقدير والشكر للفكرة الرائعة التي بنيت على هذا التطبيق الجيد جدا ، وأشكر المهندس أحمد محمود على هذا الطلب ، وسيدنا يتوسل إليكم كل خير.,kindness
763,شكرا جزيلا لكم ، بصراحة. خدمة جيدة جدا,reviews
41,الإعداد في فرنسا,infected cases
35,أنا آسف لتسخينه عندي صداع.,assessment
229,الطب. (أنت تقرأين إلى (سيري,nothing identified
200,عندي صداع و a مرشح.,assessment
501,هل لدي طريقة لتشتيت انتباهه ؟,assessment
131,كم عدد الحالات في (إيطاليا) ؟,infected cases
306,لبنان,infected cases
743,طيب ، لماذا لا ترد على تقرير إسرائيل ؟,infected cases
543,قضايا في أمريكا ؟,infected cases
379,روسيا,infected cases
183,يعمل. إسهال من العرض Corinna,symptoms
9,عدد الوفيات في إيطاليا,infected cases
8,والدي تعب منه وصدره بوجه لا يعرف دور a برودة أو a كورونا ؟,most vulnerable
670,في العربي,spoken languages
188,(أنت (مين,about bot
135,مرحبا ، وزيك.,how are you
487,ما هو الطعام الذي يقوي جهاز المناعة ؟,food and drinks
463,آخر اعداد,infected cases
456,هل السعال مجرد عارض للذرة ؟,symptoms
254,"كم عدد قضايا ""كورونا"" اليوم ؟",infected cases
150,إنشاء حالات في فرنسا وإسبانيا والأردن,infected cases
695,كان لديهم إمتداد ؟,treatment
412,عدد الجرحى في مصر,infected cases
103,قضايا اليوم في مصر,infected cases
565,هل حيوانات مصابة بفيروس ؟,infection by animals
300,ألف-أساليب التطهير,sterilization and disinfection
344,شكرا لك ، شكرا لك,reviews
556,أنت صوتي,about business
298,مد الحجر بعد الشفاء من كورونا,home quarantine
194,أنا بلدي 39 درجة.,assessment
449,! (آلا),greeting
87,(دواء (مايش حلها لي كـ (كرونور),treatment
1,والمخاط الخاص بك.,nothing identified
520,كم عدد الحالات الجديدة في السعودية ؟,infected cases
433,أعراض كرونوس,symptoms
12,طاهر إيزاي ، المنزل والملابس.,sterilization and disinfection
473,هل نحن بأمان ؟,panic among the people
50,تقرير وزارة الصحة اليوم,infected cases
268,أعراضه,symptoms
293,الآلات في إيطاليا,infected cases
513,كيف حالك ، آنستي ؟,how are you
771,أعراض مرض الرافعة,symptoms
693,سلام,end conversation
386,ما هي السخانات التي أقوم بها للآباء لمنع العدوى ؟,food and drinks
404,شكرا لك ، الأنف.,reviews
270,"عدد الإصابات في مصر ""النهضة"" ؟",infected cases
358,م ـ ا ه ـ و ؟,about corona virus
174,الكويت,infected cases
180,إنه عرض لأعراضه,assessment
24,الحالات في جنوب أفريقيا والسودان,infected cases
740,آخر الأخبار في مصر,the evolution of the virus
523,أهلا بكم,greeting
602,كنت بحاجة إلى تقرير كامل عن الحالات في جميع أنحاء العالم.,infected cases
399,يتوقع أن تنتهي عندما يكون الوباء لقرون,the evolution of the virus
584,أشعر بالألم في الصدر هل هذا من أعراض (الكروننا) ؟,assessment
42,حالات إيجابية في مصر,infected cases
315,كريم عليك,reviews
776,عدد قضايا مصر,infected cases
756,القضايا في الأردن,infected cases
503,أخبري كورنا أ.,about corona virus
302,(شكرا (ميسا,reviews
11,تقرير التقرير,infected cases
246,حالات التيجان في مصر,infected cases
627,كوسوفو,infected cases
349,عربي,spoken languages
481,إمتص.,nothing identified
788,كم عدد الحالات ؟,infected cases
425,(الأعراض الأولى لإصابة (كورونا,symptoms
492,. أنت بأمان,about bot
502,نيس ، الذي جعل لك.,about business
588,إيه ، الأعراض.,symptoms
496,إعداد القضايا,infected cases
494,وقد وصلت القضايا في السعوديين إلى كام.,infected cases
560,شكرا لكم.,reviews
44,دواء كورونا الأخير,treatment
54,م,nothing identified
82,كيف يمكن منع التيجان فيرس,precautions
622,تحديد اليوم,infected cases
213,هل ستنتهي (كورونا) بكثافة الطقس ؟,warm weather
552,إذا كان هذا هو السعال الحاد ، صوت عال وضيق ، ولكن ليس هناك حرارة ، لا الألغام ، والعمل بالأشعة السينية على الصدر ، وليس هناك حاجة ليكون التاجي ، على الرغم من رفض النظام الغذائي ، وأنا استقيل.,assessment
166,ما الهالة.,about corona virus
193,آه ، قصارى جهدي.,spoken languages
48,بروتوكول العلاج,treatment
304,ما هو عدد الحالات في قطر,infected cases
250,"هل هناك علاج ل ـ ""كورونا"" ؟",treatment
746,"هل كان لديك إمكانية الوصول إلى لقاح ضد فيروس ""الكورونا"" ؟",treatment
226,ما هو معدل الإصابة اليوم في مصر ؟,infected cases
359,إعداد الجرحى في مصر,infected cases
25,نسبة السكان,nothing identified
491,لقد عالجه,how are you
651,أعني أعراض لوكس لدينا ، أنا يوم ،,symptoms
100,حسنا ما سألتكم عن عدد الحالات في إسرائيل,infected cases
553,عدد الجرحى في مصر,infected cases
210,أنا لست مخطئا,assessment
81,إيه ، والبلدان ليس لديها الشريان التاجى.,nothing identified
691,ما هي الأعراض ؟,symptoms
0,كم عدد مستشفيات العزل في مصر وما هي أماكنها ؟,business location
234,أخبار رونة أخرى في مصر,infected cases
600,(إيزي),how are you
145,ولأنني أريد أن أعرف ما هو المقصود بالنتائج ، تحول الوضع من إيجابي إلى سلبي.,nothing identified
371,الفرق بين Corona و Eavanisa,comparison
567,آه ، لديك إصابة بالازدحام للعالم.,infected cases
573,معدلات الوفيات في قطر ؟,infected cases
305,أخبار النمسا عن الخنادق,infected cases
667,حمية,business location
123,آه ، هي أعراض فيرس,symptoms
591,في جده,infected cases
392,السلام عليكم ورحمة الله وبركاته.,greeting
644,شكرا لكم.,reviews
619,عدد المصابين الآن في مصر هو مع فيروس كرونا.,infected cases
120,إسرائيل,infected cases
716,! آه !,yes
319,شكرا لطلبك مني ألا أشكرك على تعبك,reviews
98,متى انتهى بهم المطاف ؟,the evolution of the virus
143,أنا أسأل عن مستشفيات خاصة ، لعدم وجود الله مصير.,business location
324,أفعل ماذا ؟,nothing identified
465,ما هو فيروس (كرونا) ؟,about corona virus
159,عدد القضايا في مصر آه النهضة,infected cases
225,رجاء ، أعرف طول بقاء (فيريس كورونا) على أسطح المنازل,transfer methods
187,، طالما أن وجه الصيف. فإن الفيروس قد انتهى,warm weather
88,ما هو تحليل pcr,laboratory
146,أساليب الوقاية من الإصابات,precautions
575,(بشأن (كرونا,about corona virus
357,الإعداد في مصر,infected cases
4,كام ، عدد القتلى.,infected cases
17,مرحبا-مرحبا-,greeting
773,كيف يمكنني التواصل معك ؟,about business
658,دولة كوسوفو,infected cases
72,كيف أحمي نفسي,precautions
291,، إنه طالما وجه الصيف. فإن الفيروس سيقتل,warm weather
149,! (كام),infected cases
562,هل هو حظر تجول ؟,curfew
101,(شكرا لك ، (ميس,reviews
102,عدد الجرحى في مصر,infected cases
248,الهدوء.,greeting
235,وفي مصر أصيب أحدهم بجروح.,infected cases
521,ما هي الأعراض التي تؤكد التتويج ؟,symptoms
541,أنت تبدو غبي.,nothing identified
247,إعداد الجرحى,infected cases
21,منحنى كورونا في إيطاليا,infected cases
263,أي المتوقع مع Corona في الشهر.,the evolution of the virus
366,هل يمكن أن تكون (كورونا) مصابة بدون لمس شخص مصاب أو الحصول على مقربة منه ؟,transfer methods
3,أنا آسف,nothing identified
269,الجلوس على أسطح المنازل ، كام ، ساعة.,transfer methods
665,ما قرونه ؟,about corona virus
211,والمحامص هي من كورونه.,precautions
421,آثار متراكمة بعد الشفاء,nothing identified
718,ما هو المرض ؟,symptoms
255,وأهم شيء في قضية كورونا هو العثور على لقاح وعدم التعرض لأي علاج في الأيام.,treatment
122,"الخلاص, نحتاج",no
454,ألمانيا,infected cases
729,إعداد الجرحى,infected cases
154,يمكن للعدوى أن تنتقل من الهواة إلى نزل الشارع ؟,transfer methods
422,مرحبا ، زيكي.,how are you
280,خلال شهر,nothing identified
774,ما هي الأعراض ؟,symptoms
707,حالات نيهاردا,infected cases
400,متى عملنا ؟,back to work
744,قضايا في مصر,infected cases
316,أقل بلد في معدل الوفيات ؟,infected cases
626,اعداد الضحايا في أمريكا وإيطاليا.,infected cases
245,كانت معجبة بالتيجان الفيراس.,sterilization and disinfection
376,إنه الفرق بين فيروس الإنفلونزا العادي,comparison
493,الصين,infected cases
671,ولا توجد أي أخبار عن مصر أو أي دواء.,treatment
262,. الخدمات الطبية لجهاز المناعة,food and drinks
648,قم بعرض الكشف.,symptoms
128,ورأيت فكرة البرنامج مع محمود سعد.,nothing identified
308,11 من نيسان / ابريل في مصر,infected cases
294,أنا عندي 50 سنة وأنا عندي دعامة في القلب ، لذا هل هو يجب أن ... انتظر ، لا ، لا ، لا.,most vulnerable
460,يقولون بأنه يمكنه الحصول على العلاج هل هذا صحيح ؟,treatment
490,(كام) في (السويد),infected cases
276,أمريكا.,infected cases
629,كيفية التعامل مع الحقيبة والأشياء التي يتم شراؤها,precautions
124,عدد الحالة,infected cases
337,قضايا في إيطاليا وإنجلترا,infected cases
394,(مرحبا (نيس,greeting
472,ايزي 😍,how are you
557,هل الإصابة تأتي في الخطأ فقط لضربه ؟,transfer methods
310,علامات المرض,symptoms
33,ما نسبة الشفاء إلى الوفاء في مصر,infected cases
450,كم عدد المصابين الآن ؟,infected cases
674,عدد الكرو من مصبات كرونا في مصر,infected cases
212,هل قام الشارع بتعقيمه بفايده في وجهه ؟,sterilization and disinfection
222,هل هناك علاج فعال ؟,treatment
46,هل ارتديت القناع مهما أم لا ؟,muzzle/mask
482,حجارة المسافرون من ليبي,home quarantine
413,هل كان لديك إمكانية الوصول إلى عقار معين لعلاج الفيروس ؟,treatment
114,. عجبا ، أنت معدية,reviews
655,أماكن الحجر الصحي في مصر,home quarantine
93,"مدخنة تشرب ""ساغلر"" كالتشيلو تيليد محتمل بسببها ؟",smoking
56,زيك الرسمي أهلا وسهلا,greeting
343,كم عدد الحالات المصابة في الهند ؟,infected cases
218,عدد الوفيات في مصر,infected cases
204,NMEMA : هل لي أن أعرف عدد الوفيات في مصر لبقية الدول العربية.,infected cases
373,كيف نحذر من قرون,precautions
779,أنا أتجنب الفيروس,precautions
551,كم عدد الحالات التي لدينا ؟,infected cases
528,ما الفرق ؟,comparison
483,عدد المصابين فى النصر,infected cases
426,إعداد الحالات في كل مقاطعة ؟,infected cases
530,وقد وصل عدوي العدوى في مصر إلى كام.,infected cases
574,هل من الممكن إرسال معلومات باللغة العربية ؟,spoken languages
780,عدد الحالات في أمريكا.,infected cases
177,كم عدد حالات التتويج اليوم ؟,infected cases
342,يجب أن أرتدي جواربي,gloves
621,مرحبا ، ناميسا.,greeting
686,الطب. أنت ذكي ؟,nothing identified
566,أنا تعبت من المطر ، وأنا لا تزال مريضة.,assessment
632,بالطبع لديهم أعراض الفيروس التاجى,symptoms
292,ونسبة الكحول 95 بالمائة مفيدة.,sterilization and disinfection
13,هل يقوم فينيتش بقتل الفيروسات بحيث يمكن استخدامها لتطهير المباني والأسطح ؟ ؟ ؟,sterilization and disinfection
279,. الإسكندرية) مجرد لمسة واحدة),business location
156,... اسمك,about bot
781,أعرف ما الذي حصلت عليه لقد حصلت على الهالة.,symptoms
275,(مرحبا ، (نيكس,greeting
165,ماا هى اعراضه والاصابه بالكورونا؟,symptoms
531,حامت_كبدي ! قعدة الحوش,home quarantine
244,؟ المفروض اجي المستشفى يقولولي حللولي بس النف_س رخم,business location
184,واعمل اييه وكنت مستعد نزلت الجامعه ولا اشتغل گل اسبوع و وقت مختلف_تماما,education and work
14,گم بعدد مصابين الليله علي ليبيا,infected cases
705,عددمن القضايا ف إسرائيل,infected cases
233,المقال,infected cases
113,ولا وهي الأعراض,symptoms
66,م هيا اثار_جانبيه الفيروس انفلونزا_الخنازير,about corona virus
277,أهلا بفرااقهم تشرفت بيهم,reviews
679,سألتها ولا هيا وعلامات مرضه والا,symptoms
264,القضايا من البلد حتي ايه_بالظبط والا,infected cases
589,او مناطق سيتم العثور حلاته فيهم,infected cases
328,لماذا مريض فيروس_كورونا سيؤثر على والمصابين بتليف ف الرئة؟,symptoms
126,لاعداد الحلات علي واوكرانيا ! التشيك,infected cases
571,العامة,nothing identified
15,ماهى آخر وتطورات كرونا فى السعويه,infected cases
498,وكام عددمن وحالات الجزائر,infected cases
70,اصحاب المفروض للعدد ويزي,infected cases
38,لعدد اصابات,infected cases
